stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN18500;Bjørnholt;10.68787;60.05142;10.9;9.6;1.3;70.6;120.0;58.8
SN18645;Solli plass;10.72020;59.91420;;;;43.9;71.0;61.8
SN18700;Oslo (Blindern);10.72000;59.94230;13.3;12.2;1.1;58.1;82.0;70.9
SN18703;Blindern test;10.71940;59.94256;;;;56.9;76.0;74.9
SN18920;Besserud;10.67100;59.95730;;;;72.1;93.0;77.5
SN18950;Tryvannshøgda;10.66923;59.98480;10.5;9.4;1.1;81.6;114.0;71.6
SN19455;Kommunegården;10.52430;59.88920;;;;57.7;82.0;70.4
SN19458;Nadderud;10.58780;59.92480;;;;58.6;78.0;75.1
SN19490;Gjettum PLU;10.51220;59.90580;;;;79.3;84.0;94.4
SN19510;Øvrevoll;10.62270;59.94046;;;;66.7;86.0;77.6
SN19530;Aurevann;10.46010;59.99670;;;;52.8;92.0;57.4
SN19710;Asker - Sem;10.43580;59.85580;12.5;11.4;1.1;63.6;97.0;65.6
SN19930;Glitre;10.05630;59.86835;;;;44.2;99.0;44.6
SN19940;Lier;10.25980;59.79080;13.0;11.6;1.4;50.8;;
SN20280;Hverven;10.26617;60.14033;12.7;11.6;1.1;37.4;71.0;52.7
SN20301;Hønefoss;10.24780;60.16650;12.7;11.5;1.2;30.1;65.0;46.3
SN20520;Lunner;10.57516;60.29517;11.2;;;31.7;76.0;41.7
SN20540;Gran;10.55920;60.35580;11.4;10.4;1.0;41.6;70.0;59.4
SN21680;Vest-Torpa;10.03580;60.93450;9.0;8.0;1.0;46.7;80.0;58.4
SN22840;Reinli;9.49050;60.83460;;;;26.8;72.0;37.2
SN23410;Fagernes LH;9.30141;61.00279;7.9;6.9;1.0;;;
SN23420;Fagernes;9.22400;60.97850;11.0;9.4;1.6;20.2;56.0;36.1
